12,7614893,18739,436012,0,410502,60251,15.0669308217283,257,12056,9883,1916,186,11527,7114,3997,12668,461255,246672,195077,12668,461255,246672,195077,3333,237543,156951,77259,20589,792896,111948,660359,24701,458874,64655,369285,63868,685724,117550,504306,9377,229234,181285,38572,47544,1505816,0,1458272,39685,986038,0,946353,10253,389140,241867,137020,99472,2052611,0,1953139,37046,635750,469512,128262,7931,206983,53522,145530,0,0,0,0,117692,1605675,0,1487983,45898,964216,71197,847121,91306,1016708,717012,208390,21022,492215,428495,42698,14474,278719,0,261858,18738,789182,486633,283811,3693,267198,171603,91902,5127,82961,63153,14681,201412,2546311,440769,1893387,7011,159524,69280,83233,7255,201144,9851,184038,466799,5817845,1042437,4308609,37130,677554,0,637148,2851,103217,38173,62193,96408,1294245,941756,256081,14144,245918,23001,209503,7961,528460,348014,172485,34533,1745552,1027017,678836,24414,869438,114299,730725,11077,373897,287307,75513,307,10780,8334,2139,5548,156976,115480,35948,9812,376028,167045,199171,2344,262138,146184,113610,1533,44445,35803,7109,14481,332328,241311,76536,1348,38062,26316,10398,1335,62802,49302,12165,3845,185410,10831,170736,1146,49191,43674,4371,1231,94050,80494,12325,290,18304,13936,4078,836,17403,13881,2686,8301,160887,96752,57235
13,7614893,20308,561048,0,529723,67717,13.2519248413253,284,15832,11789,3759,238,18031,8404,9044,15485,690750,340087,325787,15485,690750,340087,325787,4428,365987,268440,93119,28645,1520812,179754,1312413,25570,519643,69155,424658,65079,703942,123384,515479,9433,231380,183577,38370,57571,3123285,0,3065714,43458,1483263,0,1439805,10956,480393,370266,99171,107199,2230822,0,2123623,39466,726525,550873,135103,8944,259690,71671,179075,43268,899666,579186,277212,123019,1653216,938710,591487,48816,1052709,76141,927752,93653,1104225,786983,223589,22665,584319,512861,48793,16011,377844,0,352178,21686,1126740,773116,331938,4228,302038,218622,79188,5724,88700,70259,12717,229155,2620371,460590,1912860,7799,203163,87432,107932,8205,344738,11079,325454,482457,5965116,1065500,4417159,40044,875042,502639,328165,3289,156080,42878,109913,101700,1430797,1055985,273112,14844,256359,24958,216924,10003,795095,473888,311204,44502,3173447,1600084,1516941,28082,996394,131864,836448,12020,484104,381176,90908,369,19776,11023,8384,6053,252055,191214,54788,12710,693694,269214,411770,2875,385432,219988,162569,1632,51204,42157,7415,17235,474700,316817,140648,1417,52566,37920,13229,1439,124660,49171,74050,4291,250293,12893,233109,1238,58667,50607,6822,1491,106992,92586,12915,307,25110,18402,6401,840,18766,15277,2649,8578,182916,102426,72793
14,7614893,22242,738829,0,704109,76582,11.3307163185549,366,21992,15878,5748,280,31687,11190,19620,20147,1064672,458731,576052,20147,1064672,458731,576052,5607,522314,412769,103938,43522,2223012,282584,1896906,26544,620461,75270,518377,66037,723589,127060,530492,9468,234207,185053,39686,78762,5539188,0,5460426,49359,2245224,0,2195865,12076,596150,427613,156461,112847,2484289,0,2371442,41708,871645,626489,202430,10146,361569,101807,249616,53835,1449946,849542,546569,126799,1711496,1437241,147456,50924,1194854,80656,1063274,95653,1246516,829270,321593,23837,714208,621231,69140,17630,558379,0,526043,25675,1551560,1138297,387588,4615,349839,258216,87008,6018,94190,79450,8722,235816,2692961,476110,1953340,8795,263977,102966,152216,10209,562667,13674,538784,488027,6123317,1084398,4550892,43983,1161928,801136,312601,4031,226479,50758,171690,105811,1612172,1164874,341487,15227,270330,26150,229246,13219,1238104,721372,503513,70611,5274430,2852249,2342083,30622,1192619,154370,1007627,12912,661676,512596,136168,614,41193,21933,18646,6990,406428,316694,82744,18863,1093145,395908,678374,3827,524272,330406,190039,1758,55634,47873,6003,20981,685342,437939,226422,1519,78644,55063,22062,1950,235003,66798,166255,4767,345860,15344,325758,1413,78990,64478,13099,1774,120493,105910,12809,366,33759,25700,7693,840,20427,17221,2366,8820,206053,114208,83719
15,7614893,25033,913324,0,876530,86608,10.3079964521082,438,42431,20740,21253,372,51777,16465,34244,25405,1429975,551900,849829,25405,1429975,551900,849829,7532,693288,580097,105659,58912,2718197,363815,2295470,27749,733701,81487,624193,66561,752199,129854,555784,9530,238275,187209,41536,113618,7560802,0,7447184,60041,3036934,0,2976893,13533,704361,523260,167568,116556,2823589,0,2707033,44109,1056608,757315,254209,11336,491220,124954,354930,61663,1866338,1246815,557860,130114,1792333,1474190,188029,53154,1384251,86766,1244331,97312,1409112,910840,400960,25066,868220,764320,78834,19754,845319,0,811027,31292,1949108,1536192,381624,5078,411687,298475,108134,6261,100722,88650,5811,237731,2787156,491478,2020719,9982,323043,130168,182893,13340,788482,18342,756800,491055,6273516,1100956,4681505,49322,1444938,1091263,299851,5097,299726,60276,234353,108976,1806505,1322915,374614,15492,291874,27867,248834,17229,1718289,1122554,578506,124333,7157092,4683782,2303158,33896,1429813,187078,1208839,14516,855490,696730,144244,1001,67294,43113,23180,8648,605826,495630,101548,28288,1428608,528597,871723,4860,635127,466910,163357,1858,59762,51728,6176,26789,948303,614155,307359,1899,107668,78710,27059,3214,342800,118823,220763,5585,438297,18616,414201,1630,106210,88144,16436,2081,138096,121330,14685,408,43491,34671,8412,861,21586,18777,1948,9045,228378,124943,94629
16,7614893,27442,1051933,0,1011839,95728,9.87206483826498,672,88346,29826,57848,460,68324,24504,42653,29558,1689291,654821,1004245,29558,1689291,654821,1004245,9764,823821,725508,88549,69760,2939650,426567,2443323,28609,813636,86255,698482,66867,771919,132881,572171,9562,241386,189039,42785,149474,8812648,0,8663174,74100,3698094,0,3623994,15262,822801,634939,172600,120561,3229920,0,3109359,47024,1256196,943086,265323,12765,624457,140085,471607,69501,2109827,1703748,336578,133366,1871248,1526191,211691,55037,1534556,90418,1389101,99442,1573097,1037198,436457,26783,1013230,908957,77490,21752,1104026,0,1064203,36817,2256635,1908639,311179,5591,469555,346522,117442,6397,105878,95466,4015,238881,2876164,502166,2088743,10976,359229,164725,183528,17231,952942,23288,912423,493004,6417312,1116072,4808236,54459,1680371,1371029,250609,6114,362301,67929,288258,112711,1974140,1515342,346087,15888,312958,30168,267357,22317,2085330,1502412,560601,171926,8730560,6442216,2045203,36466,1651653,211714,1403469,15941,1023622,886101,121580,1318,91871,67544,23009,10533,763347,640348,112466,36006,1641876,695126,910744,5674,720163,590669,123820,1931,63884,55425,6528,32819,1130331,840081,257431,2566,134068,104153,27349,4432,434253,175960,253861,6294,543446,22204,515189,1956,139745,116304,21485,2348,162361,139664,20349,507,51687,42264,8916,870,23088,20345,1873,9170,250003,132402,108638
17,7614893,29004,1160190,0,1114130,0,0,1187,139505,41621,96697,601,84243,34321,48613,33542,1946686,760887,1155852,33542,1946686,760887,1155852,12920,955842,859290,83632,77134,3063637,470193,2516310,29404,878808,90163,758941,67039,799219,135429,596751,9612,244792,191629,43551,175027,9575602,0,9400575,88317,4177634,0,4089317,17306,1023836,733494,273036,125122,3685431,0,3560309,49570,1463807,1123501,290137,14652,768573,158188,595733,75587,2266889,2001934,189368,136477,1874936,1580637,157822,56748,1661248,102574,1501926,101975,1742304,1170383,469946,28438,1179212,1062449,88325,24671,1393091,0,1342224,42447,2599280,2214338,342495,6086,532497,402575,123836,6488,110840,100691,3661,239614,2956356,511062,2149624,11911,387381,199109,176361,20426,1059282,27504,1011352,494725,6593573,1129519,4942315,59520,1918836,1599955,255396,7114,412825,76659,329052,115938,2132659,1683521,333200,16269,333148,32090,285237,27593,2407499,2021023,358883,204919,9789046,7950938,1581285,39675,1869335,232314,1596857,17292,1190839,1054679,118868,1697,119206,88477,29032,12529,929386,781492,135365,42514,1838493,771465,1024514,6257,806396,681522,118617,1998,69208,60263,6947,38139,1281130,1027857,215134,3559,164975,126008,35408,5706,497894,236435,255753,7113,671557,26220,638678,2262,193856,155838,35756,2560,217198,173933,40705,603,59767,50105,9059,870,24570,21679,2021,9334,267518,144186,114222
18,7614893,30406,1256035,0,1202538,0,0,1709,169266,65690,101867,684,101650,38524,61743,36420,2154279,903848,1221479,36420,2154279,903848,1221479,17382,1123506,998415,107709,81747,3190081,505088,2603246,30186,966563,93895,842179,67370,833856,138068,628418,9628,247319,193880,43811,198553,10199901,0,10001348,98650,4557418,0,4458768,18992,1193001,863268,310741,129978,4116457,0,3986479,52231,1656718,1299829,304408,16546,912975,168539,727890,80111,2407208,2179310,147787,139347,1905770,1639617,126806,58133,1790811,110101,1622577,104546,1922882,1325154,493182,30126,1334603,1214618,89859,28029,1731050,0,1661313,48338,2890688,2542635,299715,6723,610467,456185,147559,6564,118301,107343,4394,240956,3057187,518664,2229683,12658,412731,226759,173314,22774,1132219,30133,1079312,497003,6772905,1141452,5096694,63680,2148912,1824709,255348,7878,459715,80983,370854,119196,2312198,1833756,359246,16646,354722,33705,304674,33120,2717287,2464112,220055,229296,10805231,9092389,1416489,44349,2088525,251552,1791119,18603,1488971,1270444,199924,2283,152462,115480,34699,14161,1136745,954091,168493,47749,2061307,857111,1156447,6597,941919,764030,171292,2076,75663,65382,8205,41974,1392256,1212955,137327,4566,207259,151761,50932,6584,560345,296854,257326,8840,799683,29216,749073,2853,263923,215608,45462,2967,276538,230697,42874,712,72414,61507,10195,870,25653,23123,1660,9540,292028,154310,128377
19,7614893,31933,1377038,0,1314123,0,0,2271,191798,156177,33350,880,127546,76004,49941,38631,2380075,1022293,1319542,38631,2380075,1022293,1319542,21515,1304772,1172740,110517,85467,3315146,538551,2691128,31079,1099034,99181,968440,67744,878833,141184,669905,9630,250967,196488,44849,220013,10744000,0,10523987,107517,4842008,0,4734491,20888,1393999,1070212,302899,135562,4572596,0,4437034,55785,1878589,1459294,364043,18097,1094786,187026,889663,83448,2523368,2317426,122494,142643,2020956,1712633,165680,59446,1908555,114285,1734824,107010,2131369,1475495,548864,31903,1557652,1397658,128091,33283,2070196,0,1976888,54366,3275339,2815884,405089,7465,718420,514788,196167,6668,129162,115241,7253,242101,3209916,525484,2355775,13349,459508,258217,187942,24332,1231192,33202,1173658,500754,7014033,1155937,5313878,67650,2389058,2052948,262643,8595,522763,86264,427904,122977,2525970,1999285,403708,17017,379769,35424,327541,38615,3038462,2768545,231302,249727,11946576,10195710,1406435,49001,2277840,269005,1956547,20623,1986087,1605406,360058,2841,223813,148742,72230,15808,1372709,1159974,196927,51680,2271191,1114042,1105469,7208,1164618,867578,289832,2125,82640,71743,8772,45210,1509527,1347525,116792,5475,249799,181093,63231,7263,662909,341189,314457,10580,957212,32356,876686,4180,354947,293546,57221,3726,368274,299166,65382,787,98113,77923,19403,870,26948,24325,1753,9906,317901,163326,144920
20,7614893,33500,1520776,0,1446607,0,0,2897,211550,165840,42813,994,170459,97408,71260,41876,2632060,1108780,1469034,41876,2632060,1108780,1469034,25718,1501178,1344668,130792,87407,3483694,578352,2817935,32747,1305106,107829,1164182,68337,960428,145123,746968,9670,255244,199308,46266,240226,11373751,0,11133525,114620,5127450,0,5012830,23451,1629506,1243974,362081,142851,5282777,0,5139926,61266,2245021,1633024,552399,20054,1334861,253454,1061353,86406,2642846,2439982,116458,146243,2175030,1798144,230643,60753,2043197,118777,1863667,110755,2468035,1632945,724335,34543,1860232,1651596,174093,39421,2480361,0,2360875,59722,3709297,3206695,442880,8423,882231,584274,289534,6997,146586,125953,13636,243442,3443736,539651,2537222,14115,564171,297692,252364,25736,1364681,34907,1304054,503546,7340423,1176414,5608867,73011,2766114,2274888,414664,9419,598154,88050,500685,127514,2833549,2186082,519953,17684,428020,38105,372514,44271,3480703,3106035,330397,267166,13010362,10971997,1646267,52023,2505186,286492,2159600,24491,2712558,2068873,539153,3821,354381,218024,132536,17759,1631838,1393802,220277,55252,2471323,1242424,1173647,8218,1439074,1062808,368048,2178,89609,77697,9734,47848,1662325,1444265,170212,6113,304062,225790,72159,8087,812245,391088,413070,13411,1123087,36322,1024639,6106,492629,401586,84937,4921,510817,380286,125610,924,141496,102598,37974,870,29407,25511,3026,10402,347554,181815,155714
21,7614893,11616,544500,0,516620,0,0,1078,74592,57992,15522,381,77772,35372,41985,14616,951700,391893,539564,14616,951700,391893,539564,9451,549095,491344,48300,29627,1213758,203357,980774,11316,512731,38672,462628,23040,350624,49000,278584,3230,86208,66740,16238,83205,3974124,0,3890919,39577,1784260,0,1744683,8506,616380,457058,150816,49706,2006838,0,1957132,22120,863657,597504,244854,7292,516897,91362,418243,29508,908811,839818,39485,49729,778541,626874,101938,20634,717148,40705,655809,38208,949115,580849,330058,12335,713228,622422,78471,14703,933525,0,884670,21449,1345505,1158055,166001,3183,340448,215196,122069,2400,53907,45747,5760,81651,1230294,184333,907300,4990,224298,106077,113231,8845,493484,12016,472643,168489,2535836,397435,1950709,26057,1045503,826397,192744,3372,219138,29350,186416,43707,1040836,777827,219302,6042,161449,13668,141804,16405,1283034,1135997,130632,92980,4642891,3861949,638735,18149,891175,99257,773151,9700,1135622,840451,226741,1706,154882,100997,52179,6528,602011,519796,75687,19438,872867,447334,406095,2969,554259,407120,144170,731,32389,27314,4344,16557,592317,506925,68835,2229,117695,91572,23894,3054,313872,144503,166315,5056,426614,13075,383964,2499,206566,169600,34467,2002,216281,150803,63476,415,62785,41243,21127,290,10708,8901,1517,3633,122896,65050,54371
